cliff,yearlog.1,yearlog.2,yearlog.3,yearlog.4,yearlog.5,yearlog.6,yearlog.7,yearlog.8,yearlog.9,yearlog.10,yearlog.11,yearlog.12,yearlog.13,yearlog.14,yearlog.15,yearlog.16,yearlog.17,yearlog.18,yearlog.19,yearlog.20,yearlog.21
52a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
53a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
54a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
55a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
56a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
57a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
58a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
59a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
60a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
61a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
62a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
63a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
64a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
65a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
66a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
67a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
68a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
69a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
70a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
71a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
72a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
73a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
74a,0,0.693147181,1.098612289,1.386294361,1.609437912,1.791759469,1.945910149,2.079441542,2.197224577,2.302585093,2.397895273,2.48490665,2.564949357,2.63905733,2.708050201,2.772588722,2.833213344,2.890371758,2.944438979,2.995732274,3.044522438
