cliff,tmax.1,tmax.2,tmax.3,tmax.4,tmax.5,tmax.6,tmax.7,tmax.8,tmax.9,tmax.10,tmax.11,tmax.12,tmax.13,tmax.14,tmax.15,tmax.16,tmax.17,tmax.18,tmax.19,tmax.20,tmax.21
23a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
24a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
25a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
26a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
27a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
28a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
29a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
30a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
31a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
32a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
33a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
34a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
35a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
36a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
37a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
38a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
39a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
40a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
41a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
42a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
43a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
44a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
45a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
46a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
47a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
48a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
49a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
50a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
51a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
52a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
53a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
54a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
55a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
56a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
57a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
58a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
59a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
60a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
61a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
62a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
63a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
64a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
65a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
66a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
67a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
68a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
69a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
70a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
71a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
72a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
73a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
74a,-0.819097786,-1,-0.799715406,-0.57607256,-0.963291443,-0.616576764,-0.870287149,-0.491585262,0.383603744,-0.345032296,-0.100955757,-0.148878796,-0.416505164,-0.111143931,0.311789541,-0.184144119,0.225811291,1,-0.533811574,0.021222902,-0.942101352
