cliff,pdo.1,pdo.2,pdo.3,pdo.4,pdo.5,pdo.6,pdo.7,pdo.8,pdo.9,pdo.10,pdo.11,pdo.12,pdo.13,pdo.14,pdo.15,pdo.16,pdo.17,pdo.18,pdo.19,pdo.20,pdo.21
31a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
32a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
33a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
34a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
35a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
36a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
37a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
38a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
39a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
40a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
41a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
42a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
43a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
44a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
45a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
46a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
47a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
48a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
49a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
50a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
51a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
52a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
53a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
54a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
55a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
56a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
57a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
58a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
59a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
60a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
61a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
62a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
63a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
64a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
65a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
66a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
67a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
68a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
69a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
70a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
71a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
72a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
73a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
74a,0.175029172,0.364060677,0.757292882,0.421236873,0.448074679,1,0.656942824,-0.460910152,-0.347724621,-1,0.098016336,0.205367561,0.491248541,-0.435239207,0.178529755,0.060676779,0.640606768,-0.34655776,-0.807467911,0.073512252,-0.430571762
