cliff,precip.1,precip.2,precip.3,precip.4,precip.5,precip.6,precip.7,precip.8,precip.9,precip.10,precip.11,precip.12,precip.13,precip.14,precip.15,precip.16,precip.17,precip.18,precip.19,precip.20,precip.21
29a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
30a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
31a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
32a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
33a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
34a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
35a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
36a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
37a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
38a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
39a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
40a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
41a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
42a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
43a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
44a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
45a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
46a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
47a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
48a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
49a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
50a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
51a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
52a,-0.566791319,-0.583909397,0.25,-0.85,-0.45,-0.6,0.05,-0.1,-0.45,0.2,-0.6,-0.3,-1,-0.4,1,-0.95,-0.201605643,0.023374817,-0.8,-0.5,-0.45
