cliff,yearthreshold.1,yearthreshold.2,yearthreshold.3,yearthreshold.4,yearthreshold.5,yearthreshold.6,yearthreshold.7,yearthreshold.8,yearthreshold.9,yearthreshold.10,yearthreshold.11,yearthreshold.12,yearthreshold.13,yearthreshold.14,yearthreshold.15,yearthreshold.16,yearthreshold.17,yearthreshold.18,yearthreshold.19,yearthreshold.20,yearthreshold.21
11a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
12a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
13a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
14a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
15a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
16a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
17a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
18a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
19a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
20a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
21a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
22a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
23a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
24a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
25a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
26a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
27a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
28a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
29a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
30a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
31a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
32a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
33a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
34a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
35a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
36a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
37a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
38a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
39a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
40a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
41a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
42a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
43a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
44a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
45a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
46a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
47a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
48a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
49a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
50a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
51a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
52a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
53a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
54a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
55a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
56a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
57a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
58a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
59a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
60a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
61a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
62a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
63a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
64a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
65a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
66a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
67a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
68a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
69a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
70a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
71a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
72a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
73a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
74a,0.5,0.666666667,0.75,0.8,0.833333333,0.857142857,0.875,0.888888889,0.9,0.909090909,0.916666667,0.923076923,0.928571429,0.933333333,0.9375,0.941176471,0.944444444,0.947368421,0.95,0.952380952,0.954545455
