cliff,productivityt1.1,productivityt1.2,productivityt1.3,productivityt1.4,productivityt1.5,productivityt1.6,productivityt1.7,productivityt1.8,productivityt1.9,productivityt1.10,productivityt1.11,productivityt1.12,productivityt1.13,productivityt1.14,productivityt1.15,productivityt1.16,productivityt1.17,productivityt1.18,productivityt1.19,productivityt1.20,productivityt1.21,
62a,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.5,-1,0,-1,-1,-0.5,-1,0,
63a,-1,-1,0.75,-1,-1,-1,-1,-1,-0.5,0,-1,-1,-0.25,-0.5,-0.5,-1,-0.25,-1,-0.5,-0.25,-1,
64a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0.5,
65a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
66a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-0.5,0.5,0,0.5,-1,-1,-1,
67a,-1,-1,-1,-1,0,0.5,1,-1,0,-1,-1,-1,0.5,-1,0,-1,-1,-1,-1,-1,-1,
68a,-1,-1,-1,-1,-1,-1,1,0.5,-1,0,-1,-1,-1,-1,0,-1,0,0.5,-1,-0.5,-1,
69a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.5,-1,-1,-1,-1,-1,-1,0,-1,
70a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.5,-0.5,-1,-1,-1,-1,
71a,-1,-1,-1,-1,0.5,-1,0,-0.5,-0.5,1,0,0.5,-1,-0.5,1,-1,-1,-1,-1,-1,-1,
72a,-0.5,-0.625,-0.625,-0.75,-0.625,-0.5,-1,-0.625,-0.625,-0.25,-0.5,-0.625,-1,-0.5,-0.625,-0.75,-1,-0.625,-1,-1,-0.75,
73a,-1,-0.25,-0.5,-1,-0.25,-1,0,-0.25,-0.5,-0.25,-0.5,-1,-1,-1,0,0.75,-1,-0.5,-1,0,-0.75,
74a,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
